,Unnamed: 0,page,product_link,img_link,product_name,star,review_count,ingredient,brand_name,type
0,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000127422&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0012/A00000012742239ko.jpg?l=ko,클로란 네틀 노세범 드라이샴푸 150ml/50ml (극지성두피),4.6,2244,"부탄, 프로판, 이소부탄, 쌀전분, 변성알코올39-C, 사이클로덱스트린, 사이클로펜타실록세인, 실리카, 아이소프로필미리스테이트, 사이클로헥사실록세인, 알루미늄전분옥테닐석시네이트, 세트리모늄클로라이드, 향료, 프로필렌글라이콜, 정제수, 폴리솔베이트20, 쐐기풀뿌리추출물(0.000115%)",클로란,
1,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146241&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014624105ko.jpg?l=ko,동구밭 올바른 샴푸바 중건성용 100g,4.7,554,"소듐코코일이세티오네이트, 코코-베타인, 피마자씨오일, 코코넛야자오일, 아르간커넬오일, 시금치가루, 병풀추출물, 다시마추출물, 동백나무씨오일, 자몽씨오일",동구밭,
2,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166375&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016637518ko.jpg?l=ko,클로란 드라이샴푸 150ml (쿨세범/노세범) 택1,4.7,1398,"클로란 네틀 노세범 드라이 샴푸 : 부탄,프로판,쌀전분,이소부탄,변성알코올39-C,사이클로덱스트린,사이클로펜타실록세인,실리카,아이소프로필미리스테이트,사이클로헥사실록세인,알루미늄전분옥테닐석시네이트,향료,세트리모늄클로라이드,프로필렌글라이콜,정제수,폴리솔베이트20,쐐기풀뿌리추출물클로란 아쿠아민트 드라이 샴푸 : 부탄,프로판,쌀전분,아이소부탄,에탄올,워터민트꽃/잎/줄기추출물(0.000174%),알루미늄전분옥테닐석시네이트,벤질살리실레이트,세트리모늄클로라이드,시트릭애씨드,사이클로덱스트린,유칼립투스잎오일,향료,적색산화철,황색산화철,흑색산화철,아이소프로필미리스테이트,리날룰,스피어민트잎오일,멘톨,프로판다이올,토코페릴아세테이트,정제수",클로란,
3,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146240&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014624002ko.jpg?l=ko,동구밭 올바른 천연 린스바 100g,4.7,309,,동구밭,
4,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111829&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0011/A00000011182920ko.jpg?l=ko,코랩 비건 드라이샴푸 200ml 4종 택1,4.5,4131,,코랩,
5,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000011484&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001148406ko.jpg?l=ko,바티스트 드라이샴푸 오리지널 50ml,4.7,13528,"■ 부탄, 아이소부탄, 프로판, 쌀전분, 변성알코올, 향료, 세트리모늄클로라이드,다이스테아릴다이모늄클로라이드, 알파-아이소메틸아이오논, 벤질벤조에이트, 벤질살리실레이트, 시트랄, 제라니올, 리모넨, 리날룰",바티스트,
6,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000131226&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0013/A00000013122603ko.jpg?l=ko,쏘내추럴 오일 컷 헤어 드라이 파우더 20g,4.7,199,"알루미늄스타치옥테닐석시네이트, 실리카, 합성플루오르플로고파이트, 옥수수전분, 마그네슘스테아레이트, 로즈마리잎오일, 캐모마일꽃추출물, 페퍼민트추출물, 라벤더꽃추출물, 감자추출물, 카프릴릴글라이콜, 에칠헥실글리세린, 하이드록시프로필비스팔미타마이드엠이에이, 정제수, 프로필렌글라이콜, 트리에톡시카프릴릴실란, 부틸렌글라이콜, 1,2-헥산디올, 황색산화철 (CI 77492), 적색산화철 (CI 77491) ,흑색산화철 (CI 77499)",쏘내추럴,"지성,건성"
7,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204193&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020419306ko.jpg?l=ko,달리프 글램 노세범 헤어 팩트 5g,4.6,137,"탤크,마이카,징크스테아레이트,페닐트라이메티콘,나일론-12,티타늄디옥사이드,실리카,카프릴릭/카프릭글리세라이즈,알루미늄전분옥테닐석시네이트,폴리 메틸실세스퀴옥세인,카프릴릭/카프릭트라이글리세라이드,1,2-헥산다이올,트라이에톡시카프릴릴실레인,다이메티콘,메티콘,향료,판테놀,옥수수전분,정제수, 리날룰,헥실신남알,글리세린,리모넨,시트로넬올,제라니올,부틸렌글라이콜,녹차추출물,시트랄",달리프,"지성,건성,탈모,민감성"
8,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000011439&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001143906ko.jpg?l=ko,바티스트 드라이샴푸 후레쉬 200ml,4.7,5214,"■ 부탄, 아이소부탄, 프로판, 쌀전분, 변성알코올, 향료, 다이스테아릴다이모늄클로라이드, 세트리모늄클로라이드, 부틸페닐메틸프로피오날, 벤질살리실레이트, 헥실신남알, 하이드록시시트로넬알, 리모넨, 리날룰",바티스트,
9,10,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141612&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014161244ko.jpg?l=ko,클로란 아쿠아민트 쿨세범 드라이샴푸 150ml (지성두피&쿨링),4.6,2040,,클로란,
10,12,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130685&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=13,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0013/A00000013068524ko.jpg?l=ko,코랩 드라이샴푸 오리지널 50ml+50ml(더블기획),4.6,629,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료, 시트로넬올, 리모넨, 제라니올, 헥실신남알, 하이드록시시트로넬알",코랩,
11,13,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111827&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=14,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0011/A00000011182719ko.jpg?l=ko,코랩 드라이샴푸 유니콘 200ml(자스민&바닐라향),4.5,1897,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료, 부틸페닐메틸프로피오날, 벤질살리실레이트, 리모넨, 제라니올, 헥실신남알, 리날룰",코랩,
12,14,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190569&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019056901ko.jpg?l=ko,바티스트 드라이샴푸 50ml/200ml 16종 택 1,4.7,31149,상세페이지참조,바티스트,
13,15,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000009617&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=16,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0000/A00000000961706ko.jpg?l=ko,바티스트 드라이샴푸 블러쉬 50ml,4.6,3425,"■ 부탄,아이소부탄,프로판,쌀전분,변성알코올,향료,세트리모늄클로라이드,다이스테아릴다이모늄클로라이드,아밀신남알,시트로넬올,헥실신남알,리날룰",바티스트,
14,16,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000013989&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=17,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001398906ko.jpg?l=ko,바티스트 드라이샴푸 체리 200ml,4.7,379,"■ 부탄,아이소부탄,프로판,쌀전분,변성알코올,향료,세트리모늄클로라이드,다이스테아릴다이모늄클로라이드,리모넨,리날룰",바티스트,
15,17,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016070&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001607006ko.jpg?l=ko,바티스트 드라이샴푸 플로랄 200ml,4.7,1678,"■ 부탄,아이소부탄,프로판,쌀전분,변성알코올,향료,다이스테아릴다이모늄클로라이드,세트리모늄클로라이드,알파-아이소메틸아이오논,시트로넬올,제라니올,헥실신남알,리모넨,리날룰",바티스트,
16,18,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111697&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=19,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0011/A00000011169717ko.jpg?l=ko,코랩 드라이샴푸 트로피칼 200ml(파파야&파인애플향),4.6,741,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료",코랩,
17,19,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000111831&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=20,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0011/A00000011183116ko.jpg?l=ko,[비건]코랩 드라이샴푸 파라다이스 200ml(시트러스&코코넛향),4.6,642,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료, 부틸페닐메틸프로피오날, 벤질알코올, 벤질살리실레이트, 리모넨, 리날룰",코랩,
18,20,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146237&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=21,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014623702ko.jpg?l=ko,동구밭 올바른 샴푸바 쿨링용 100g,4.7,209,"소듐코코일이세티오네이트, 코코-베타인, 올리브오일, 호호바씨오일, 병풀추출물, 다시마추출물, 멘톨, 스피어민트잎오일, 인디고잎가루, 토코페롤",동구밭,
19,21,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146243&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=22,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014624302ko.jpg?l=ko,동구밭 올바른 샴푸바 지성용 100g,4.8,545,"소듐코코일이세티오네이트, 코코-베타인, 코코넛야자오일, 올리브오일, 아르간커넬오일, 당호박가루, 마트리카리아오일, 라벤더오일, 다시마추출물",동구밭,
20,22,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161053&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=23,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016105306ko.jpg?l=ko,코랩 드라이샴푸 유니콘(200ml+50ml/올리브영 단독),4.5,2699,"부탄, 아이소부탄, 프로판, 변성알코올, 알루미늄스타치옥테닐석시네이트, 향료, 시트로넬올, 리모넨, 제라니올, 헥실신남알, 하이드록시시트로넬알,",코랩,
21,23,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161054&dispCatNo=1000001000400080005&trackingCd=Cat1000001000400080005_Small&t_page=카테고리관&t_click=샴푸바/드라이샴푸_소_샴푸바/드라이샴푸__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016105410ko.jpg?l=ko,[올리브영 단독] 코랩 드라이샴푸 200ml+50ml 3종 택1,4.6,6140,,코랩,
